sw krw krn krwf krnf vw vn force pw pn wet peff
0.16081687 0.024748274 26.024241 -0.034368793 18.762131 5.7962969e-07 0.00060951415 5.536767e-06 0.32192606 0.33550076 1657913.2 0.038389205
0.16082953 0.034642367 26.003589 -0.019544831 18.74834 8.1135941e-07 0.00060903046 5.536767e-06 0.32192927 0.33550095 1657723.4 0.038405066
0.16081378 0.043039286 26.063785 -0.011878454 18.802265 1.0080238e-06 0.0006104403 5.536767e-06 0.32193849 0.33550049 1657574.6 0.038304161
0.16081039 0.055750258 26.08063 -0.0019551794 18.817191 1.3057276e-06 0.00061083483 5.536767e-06 0.32194599 0.33550011 1657443.2 0.038260845
0.16081764 0.066712094 26.08339 0.0053761908 18.82301 1.562465e-06 0.00061089948 5.536767e-06 0.32195315 0.33549969 1657321 0.038240768
0.16081996 0.072791045 26.082751 0.0086364647 18.823029 1.7048402e-06 0.0006108845 5.536767e-06 0.32196039 0.33549931 1657205.5 0.038232815
0.16082953 0.075868186 26.075343 0.010345062 18.819245 1.7769099e-06 0.000610711 5.536767e-06 0.3219672 0.33549897 1657094.4 0.038239147
0.16085886 0.074414115 26.050153 0.0060122653 18.805991 1.7428541e-06 0.00061012104 5.536767e-06 0.32197277 0.33549871 1656984.8 0.038278146
0.16797451 0.16969709 25.799953 0.065325874 18.618035 4.1492231e-06 0.00063082848 5.7802008e-06 0.32243097 0.33552284 1646600.8 0.038506488
0.17548412 0.23704551 25.626627 0.087156283 18.427746 5.7959432e-06 0.00062659055 5.7802008e-06 0.32285849 0.33555316 1635294.9 0.038664269
0.18310611 0.26380814 25.518694 0.096960305 18.304665 6.4503098e-06 0.00062395149 5.7802008e-06 0.3232215 0.33559092 1623317.8 0.038785995
0.19074323 0.27252037 25.360951 0.080551821 18.162412 6.6633306e-06 0.00062009456 5.7802008e-06 0.32354003 0.3356343 1610736.7 0.039011493
0.19837202 0.48849794 25.024158 0.24247333 17.8998 1.1944147e-05 0.00061185972 5.7802008e-06 0.32376929 0.33568913 1596838 0.039196232
0.2059426 0.53633245 25.019511 0.24589369 17.916573 1.3113737e-05 0.00061174609 5.7802008e-06 0.32392137 0.33575477 1582024.6 0.039129994
0.21355657 0.6364368 24.550455 0.2896521 17.567415 1.5561364e-05 0.00060027732 5.7802008e-06 0.32412551 0.33581245 1567057.5 0.039703192
0.21525683 0.60444427 25.307498 0.27195836 18.118932 1.4779123e-05 0.0006187876 5.7802008e-06 0.32402066 0.33586324 1560679.9 0.038592244
0.21482536 0.74406286 25.013487 0.39235436 17.884501 1.8192903e-05 0.0006115988 5.7802008e-06 0.32391949 0.33588197 1559549.3 0.038823568
0.21463301 0.58076239 24.97317 0.25934196 17.899995 1.4200083e-05 0.00061061303 5.7802008e-06 0.3238551 0.33589508 1558563.1 0.03913292
0.21452804 0.38111099 24.493285 0.059689111 17.524464 9.3184539e-06 0.00059887948 5.7802008e-06 0.3238007 0.33590669 1557485.7 0.04020198
